"","Date_time","Longitude_NTU","Latitude_NTU","Date","Time","Longitude","Latitude"
"69","2018-01-07 12:06:00","11619.612","3959.60985","2018-01-07","12:06:00",116.333666666667,40.0002736111111
"70","2018-01-07 12:06:10","11619.60182","3959.61126","2018-01-07","12:06:10",116.333383888889,40.0003127777778
"71","2018-01-07 12:06:15","11619.58295","3959.62586","2018-01-07","12:06:15",116.332859722222,40.0007183333333
"72","2018-01-07 12:06:20","11619.57117","3959.63298","2018-01-07","12:06:20",116.3325325,40.0009161111111
"73","2018-01-07 12:06:25","11619.56445","3959.64026","2018-01-07","12:06:25",116.332345833333,40.0011183333333
"74","2018-01-07 12:06:30","11619.56442","3959.63951","2018-01-07","12:06:30",116.332345,40.0010975
"75","2018-01-07 12:06:35","11619.56914","3959.6309","2018-01-07","12:06:35",116.332476111111,40.0008583333333
"76","2018-01-07 12:06:40","11619.58157","3959.61083","2018-01-07","12:06:40",116.332821388889,40.0003008333333
"77","2018-01-07 12:06:45","11619.58967","3959.60066","2018-01-07","12:06:45",116.333046388889,40.0000183333333
"78","2018-01-07 12:06:50","11619.5985","3959.59262","2018-01-07","12:06:50",116.333291666667,39.999795
"79","2018-01-07 12:06:55","11619.60294","3959.58897","2018-01-07","12:06:55",116.333415,39.9996936111111
"80","2018-01-07 12:07:00","11619.60702","3959.5843","2018-01-07","12:07:00",116.333528333333,39.9995638888889
"83","2018-01-07 12:07:15","11619.61656","3959.57653","2018-01-07","12:07:15",116.333793333333,39.9993480555556
"84","2018-01-07 12:07:20","11619.62227","3959.56707","2018-01-07","12:07:20",116.333951944444,39.9990852777778
"85","2018-01-07 12:07:25","11619.62748","3959.56067","2018-01-07","12:07:25",116.334096666667,39.9989075
"86","2018-01-07 12:07:30","11619.63429","3959.55375","2018-01-07","12:07:30",116.334285833333,39.9987152777778
"87","2018-01-07 12:07:35","11619.63889","3959.54834","2018-01-07","12:07:35",116.334413611111,39.998565
"88","2018-01-07 12:07:40","11619.64458","3959.54382","2018-01-07","12:07:40",116.334571666667,39.9984394444444
"89","2018-01-07 12:07:45","11619.6475","3959.54185","2018-01-07","12:07:45",116.334652777778,39.9983847222222
"90","2018-01-07 12:07:50","11619.65145","3959.53831","2018-01-07","12:07:50",116.3347625,39.9982863888889
"91","2018-01-07 12:07:55","11619.65591","3959.53635","2018-01-07","12:07:55",116.334886388889,39.9982319444444
"92","2018-01-07 12:08:00","11619.659","3959.53568","2018-01-07","12:08:00",116.334972222222,39.9982133333333
"93","2018-01-07 12:08:05","11619.66354","3959.53327","2018-01-07","12:08:05",116.335098333333,39.9981463888889
"94","2018-01-07 12:08:10","11619.66814","3959.53216","2018-01-07","12:08:10",116.335226111111,39.9981155555556
"95","2018-01-07 12:08:15","11619.67272","3959.5303","2018-01-07","12:08:15",116.335353333333,39.9980638888889
"96","2018-01-07 12:08:20","11619.67756","3959.52896","2018-01-07","12:08:20",116.335487777778,39.9980266666667
"97","2018-01-07 12:08:25","11619.68175","3959.52761","2018-01-07","12:08:25",116.335604166667,39.9979891666667
"98","2018-01-07 12:08:30","11619.68549","3959.52731","2018-01-07","12:08:30",116.335708055556,39.9979808333333
"99","2018-01-07 12:08:35","11619.69058","3959.52589","2018-01-07","12:08:35",116.335849444444,39.9979413888889
"100","2018-01-07 12:08:40","11619.6946","3959.52567","2018-01-07","12:08:40",116.335961111111,39.9979352777778
"101","2018-01-07 12:08:45","11619.69887","3959.52456","2018-01-07","12:08:45",116.336079722222,39.9979044444444
"102","2018-01-07 12:08:50","11619.70356","3959.52324","2018-01-07","12:08:50",116.33621,39.9978677777778
"103","2018-01-07 12:08:55","11619.70782","3959.52267","2018-01-07","12:08:55",116.336328333333,39.9978519444444
"104","2018-01-07 12:09:00","11619.71324","3959.52266","2018-01-07","12:09:00",116.336478888889,39.9978516666667
"105","2018-01-07 12:09:05","11619.7143","3959.52105","2018-01-07","12:09:05",116.336508333333,39.9978069444444
"106","2018-01-07 12:09:10","11619.71857","3959.5187","2018-01-07","12:09:10",116.336626944444,39.9977416666667
